PID;USER;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TIME+;COMMAND
438;eventum;20;0;130032;6360;3076;R;8.4;0.0;0:42.12;/bin/python3.8 ./python_dummy.py
412;eventum;20;0;130032;6360;3076;R;8.3;0.0;0:54.21;/bin/python3.8 ./python_dummy.py
436;eventum;20;0;107996;620;524;R;8.3;0.0;0:43.40;dd if=/dev/zero of=/dev/null
420;eventum;20;0;107996;640;532;R;8.3;0.0;0:47.75;dd if=/dev/zero of=/dev/null
18001;kafka;20;0;10.8g;1.2g;11924;S;1.4;2.5;1868:18;java -Xmx1G -Xms1G -server -XX:+UseG1GC -XX:MaxGCPauseMillis=20 -XX:InitiatingHeapOccupancyPerc+
22843;root;20;0;1103632;389708;4028;S;0.3;0.8;21974:21;/opt/fireeye/bin/xagt --mode Eventor --iofd 3 --cmname 12 --log INFO --logfd 4
7665;logstash;39;19;7770144;576796;6280;S;0.2;1.1;19966:57;/bin/java -Xms256m -Xmx1g -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:CMSInitiatingOccupancyFr+
20172;tomcat;20;0;12.4g;4.7g;8084;S;0.2;9.5;1473:13;/usr/bin/java -Dnop -Djava.util.logging.manager=org.apache.logging.log4j.jul.LogManager -Dfile.+
14200;upm;20;0;6617008;603736;16740;S;0.2;1.2;5:07.37;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
28956;spark;20;0;10.2g;2.6g;7948;S;0.2;5.2;4025:51;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
20470;upm;20;0;8649632;926552;7868;S;0.2;1.8;1056:06;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31715;spark;20;0;9.8g;2.5g;8128;S;0.2;5.2;1721:47;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
3959;elastic+;20;0;19.0g;10.4g;275316;S;0.2;21.2;901:33.98;/usr/share/elasticsearch/jdk/bin/java -Des.networkaddress.cache.ttl=60 -Des.networkaddress.cach+
657;eventum;20;0;162176;2568;1672;R;0.1;0.0;0:00.08;top c -b -n2
3953;root;20;0;105836;41084;40624;S;0.1;0.1;11907:13;/usr/lib/systemd/systemd-journald
22879;root;20;0;783216;32472;10836;S;0.1;0.1;13548:44;/opt/fireeye/bin/rte-sensor
1273;upm;20;0;4907960;352612;11460;S;0.1;0.7;258:55.56;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
1970;spark;20;0;9102372;705692;11316;S;0.1;1.4;107:50.63;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
20359;upm;20;0;9983872;1.3g;7472;S;0.1;2.6;445:32.04;/usr/bin/java -jar -Xms2g -Xmx2g -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/apps/dc+
31281;upm;20;0;5771164;338912;6852;S;0.1;0.7;335:43.48;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31287;upm;20;0;4584568;312172;7180;S;0.1;0.6;377:16.22;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31295;upm;20;0;5430692;435968;7276;S;0.1;0.8;239:26.91;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31299;upm;20;0;4850608;342364;7052;S;0.1;0.7;343:44.98;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31309;upm;20;0;4169428;308448;6852;S;0.1;0.6;334:19.72;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31320;upm;20;0;4173956;328828;7144;S;0.1;0.6;333:00.66;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31343;upm;20;0;4371612;307160;6864;S;0.1;0.6;383:46.53;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31345;spark;20;0;9320948;592784;7804;S;0.1;1.2;447:52.10;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
11847;spark;20;0;9183300;533252;8288;S;0.1;1.0;239:30.56;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
15566;spark;20;0;9923.0m;2.3g;8388;S;0.1;4.6;206:29.15;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
17855;root;20;0;3462596;2.5g;26872;S;0.1;5.1;1199:47;/usr/sbin/rsyslogd -n
28788;spark;20;0;9342620;1.0g;7752;S;0.1;2.1;624:21.01;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
30376;spark;20;0;9308192;821884;7876;S;0.1;1.6;557:16.70;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
31280;upm;20;0;5276852;443024;7732;S;0.1;0.9;402:53.30;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31284;upm;20;0;5313416;383100;7700;S;0.1;0.7;296:23.03;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31285;upm;20;0;4745548;832084;7476;S;0.1;1.6;784:43.89;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31291;upm;20;0;4016036;230512;5944;S;0.1;0.4;144:24.59;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31296;upm;20;0;5920828;429968;8080;S;0.1;0.8;297:17.16;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31306;upm;20;0;4502384;324436;7056;S;0.1;0.6;324:41.20;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31323;upm;20;0;3834632;313776;7448;S;0.1;0.6;234:41.16;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
1;root;20;0;202436;4808;2556;S;0.0;0.0;2629:19;/usr/lib/systemd/systemd --switched-root --system --deserialize 22
10;root;20;0;0;0;0;S;0.0;0.0;2247:53;[rcu_sched]
7651;kibana;20;0;1681716;236944;5612;S;0.0;0.5;5895:18;/usr/share/kibana/bin/../node/bin/node /usr/share/kibana/bin/../src/cli -c /etc/kibana/kibana.y+
8260;redis;20;0;230752;57824;820;S;0.0;0.1;2544:53;/usr/bin/redis-server 192.168.45.66:6379
20755;root;20;0;233732;1876;980;S;0.0;0.0;445:39.62;/usr/sbin/snmpd -LS0-6d -f
23645;kafka;20;0;6786596;478308;6888;S;0.0;0.9;3261:01;java -Xmx512M -server -XX:+UseG1GC -XX:MaxGCPauseMillis=20 -XX:InitiatingHeapOccupancyPercent=3+
28484;kafka;20;0;6883192;404864;11220;S;0.0;0.8;16:19.99;java -Xmx512M -Xms512M -server -XX:+UseG1GC -XX:MaxGCPauseMillis=20 -XX:InitiatingHeapOccupancy+
2;root;20;0;0;0;0;S;0.0;0.0;5:36.19;[kthreadd]
3;root;20;0;0;0;0;S;0.0;0.0;21:32.67;[ksoftirqd/0]
5;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/0:0H]
6;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/u24:0]
8;root;rt;0;0;0;0;S;0.0;0.0;44:39.10;[migration/0]
9;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[rcu_bh]
11;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[lru-add-drain]
12;root;rt;0;0;0;0;S;0.0;0.0;3:55.23;[watchdog/0]
13;root;rt;0;0;0;0;S;0.0;0.0;6:22.36;[watchdog/1]
14;root;rt;0;0;0;0;S;0.0;0.0;50:03.13;[migration/1]
15;root;20;0;0;0;0;S;0.0;0.0;14:56.23;[ksoftirqd/1]
17;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/1:0H]
18;root;rt;0;0;0;0;S;0.0;0.0;5:36.43;[watchdog/2]
19;root;rt;0;0;0;0;S;0.0;0.0;49:01.96;[migration/2]
20;root;20;0;0;0;0;S;0.0;0.0;13:06.94;[ksoftirqd/2]
